country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","02-12-2025 22:00:00",27.103358,93.679645,OZONE,5,6,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA","02-12-2025 22:00:00",26.2028636,91.70046436,SO2,23,29,25
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","02-12-2025 22:00:00",16.9872867,81.7363176,CO,22,40,35
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","02-12-2025 22:00:00",16.9872867,81.7363176,OZONE,9,23,17
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","02-12-2025 22:00:00",13.67,79.35,NH3,1,1,1
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","02-12-2025 22:00:00",13.615387,79.409230,CO,27,38,35
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","02-12-2025 22:00:00",16.536107,80.594233,PM2.5,50,72,57
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","02-12-2025 22:00:00",27.308328,84.531742,NH3,1,2,1
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","02-12-2025 22:00:00",26.63086,84.90051,PM2.5,43,247,130
India,Bihar,Munger,"Town Hall, Munger - BSPCB","02-12-2025 22:00:00",25.376776,86.471523,PM10,67,163,105
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","02-12-2025 22:00:00",26.11442,85.39813,NH3,7,10,9
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","02-12-2025 22:00:00",24.792403,84.992416,NH3,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","02-12-2025 22:00:00",24.762518,84.982348,PM2.5,27,55,45
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","02-12-2025 22:00:00",25.697189,85.245900,PM10,66,165,109
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","02-12-2025 22:00:00",25.560083,87.553265,PM2.5,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","02-12-2025 22:00:00",25.560083,87.553265,NH3,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","02-12-2025 22:00:00",25.42742023,86.13886079,OZONE,7,34,15
